用例ID	优先级	模块	用例标题	类型	云端适用性	前置条件	测试数据/参数	测试步骤	预期结果	自动化建议	状态	执行层级	负责人	最近执行日期	缺陷ID	证据链接	备注
FLOW-013B	P1	端到端连贯性	云端 IndexedDB 多标签写入一致性	并发一致性	适用	同源两个标签加载同一浏览器项目快照；各自准备不同工作集	同一项目；两个标签	两个标签近同时加入项目；重新载入两个标签；进入项目中心查询并打开动画	不静默覆盖、不重复写入；过期标签检测状态变化或提示重新载入；最终项目注册表与动画帧一致	Playwright 多页+IndexedDB	未执行	Nightly	待分配	—	—	—	验证浏览器端多标签一致性，不假设服务端 revision API
FLOW-014	P1	端到端连贯性	跨工具前进后退与未保存状态	导航连续性	适用	工作台存在未保存调参；切片会话存在未加入结果	工作台→切片→项目中心	连续导航；分别取消和确认离开；使用浏览器后退/前进；返回原工具	离开保护只在需要时出现；取消保持原页面；确认后的状态符合选择；无重复弹窗或会话串页	Playwright	未执行	Nightly	待分配	—	—	—	—
VIS-001	P0	视觉可操作性	移动端固定批次操作栏不得遮挡处理参数	视觉回归/阻断	适用	工作台已进入批量图片处理；处理参数内容超过一屏	568×1620；处理参数页；底部批次操作栏	滚动处理参数到中部与底部；依次尝试透明替换及后续工具；点击被固定栏邻近的输入、切换和按钮	底部批次操作栏可折叠或页面预留足够底部空间；全部处理参数能滚动到固定栏上方并可点击；不得永久覆盖内容	Playwright screenshot+elementFromPoint+点击断言	通过	PR	待分配	2026-08-09	UI-BLOCK-001	用户截图；Edge 568×1620 真实 PNG 精确回归	复测通过并验证关闭：参数页与批次页互斥显示；最后一个可见参数可滚动到视口内、elementFromPoint 命中且可获得焦点，无固定栏覆盖。
VIS-002	P0	视觉可操作性	核心路由固定栏与内容遮挡巡检	视觉矩阵	适用	各核心页面可打开并具有可操作数据	390×844、568×1620、768×1024、1114×674、1366×768；首页/项目/序列/抠图/切片/工作台/去水印	逐页滚动顶部、中部和底部；展开所有固定、粘性及折叠面板；检查并点击每个主要操作区	导航、页脚、批次操作栏及侧栏不覆盖主要控件；被覆盖面积为 0；页面末尾操作均可到达并点击	Playwright 路由矩阵+截图+遮挡检测	部分通过	Release	待分配	2026-08-10	BUG-20260810-003；BUG-20260810-005	docs/qa/2026-08-09-全链路测试执行记录.md	本地 Edge 已核对序列页预览、状态和全部页脚动作可见，31 条 Edge E2E 全通过；其他核心路由和生产 53 帧矩阵尚未重跑，故不标记完全通过。
VIS-003	P0	视觉可操作性	新手引导关闭后交互完全恢复	遮罩/交互	适用	角色起稿或攻击拖尾引导可触发	完成、关闭、Escape、刷新	分别打开引导；使用完成、关闭和 Escape 退出；刷新后点击导航、画布、工具按钮和输入框	引导遮罩完全移除；body 滚动与 pointer-events 恢复；关闭后焦点回到合理位置；不再拦截任何背景控件	Playwright+elementFromPoint+DOM 遮罩断言	通过	PR	待分配	2026-08-10	—	docs/qa/2026-08-09-全链路测试执行记录.md	新手引导完成/关闭/Escape 与焦点恢复由 Edge 交互和引导控制器单元覆盖；关闭后背景控件可真实点击。
VIS-004	P0	视觉可操作性	弹窗关闭后无透明遮罩残留	遮罩/回归	适用	可触发导出、删除、离开保护、授权与确认弹窗	确认、取消、关闭按钮、Escape	逐类打开弹窗；分别用所有关闭路径退出；立即点击原触发器附近和页面主操作按钮	弹窗与 backdrop 同时移除；背景 inert、aria-hidden、overflow 和滚动锁恢复；页面无需刷新即可继续操作	Playwright DOM+点击断言	通过	PR	待分配	2026-08-10	—	docs/qa/2026-08-09-全链路测试执行记录.md	项目确认、序列确认、切片清空及多层工具弹窗均验证确认/取消/背景点击；backdrop、inert、aria-hidden 与滚动状态恢复。
VIS-005	P0	视觉可操作性	多层弹窗下拉菜单与提示层级	层级/z-index	适用	页面可同时出现弹窗、下拉菜单、颜色选择器和 Toast	dialog+select/color picker+toast	在弹窗内打开下拉或颜色选择器；触发 Toast；依次点击选项、弹窗按钮和关闭动作	当前交互浮层位于其所属弹窗上方；Toast 不遮住关闭或确认按钮；关闭顺序正确；底层页面不可误点	Playwright screenshot+hit-test	通过	Nightly	待分配	2026-08-10	—	docs/qa/2026-08-09-全链路测试执行记录.md	Edge 精确验证抠图弹窗位于其所属序列工作台上方，父层 inert；Toast/确认按钮命中与关闭顺序正常。
VIS-006	P0	视觉可操作性	长页面滚动到底后末项可见可点	滚动可达性	适用	处理参数、批量图片或时间轴面板存在足够多内容	首项、中间项、最后一项	使用滚轮、触摸滚动和键盘 End 到达底部；将最后一个输入框与按钮 scrollIntoView；执行操作	最后一项完整显示在固定栏上方；焦点与点击命中目标；滚动容器不被父级 overflow 截断；无滚动死区	Playwright scrollIntoView+boundingBox	通过	PR	待分配	2026-08-10	—	docs/qa/2026-08-09-全链路测试执行记录.md	568×1620 参数末项可滚动到固定操作栏上方并真实点击；触控套件无横向溢出与滚动死区。
VIS-007	P1	视觉可操作性	加载遮罩在成功失败取消后及时释放	异步遮罩	适用	可延迟图片处理、视频抽帧、导出或项目保存请求	成功、超时、异常、取消	启动操作并确认加载态；分别让请求成功、失败、超时和取消；随后尝试切换工具并再次执行	仅任务进行期间阻止重复操作；结束后遮罩、disabled 和 aria-busy 全部复位；失败提示不阻断重试	Playwright 网络注入+DOM 断言	未执行	Nightly	待分配	—	—	—	覆盖异步异常导致永久禁用
VIS-008	P1	视觉可操作性	Toast 与错误横幅不得阻挡关键操作	通知层	适用	可触发成功、警告和长错误消息	短文案、长文案、连续 5 条	在窄屏和桌面依次触发通知；点击导航、保存、导出和弹窗关闭按钮；等待自动消失	通知避开导航和主要操作区或允许关闭；连续通知不覆盖整屏；消失后不保留可拦截点击的节点	Playwright screenshot+hit-test	未执行	Nightly	待分配	—	—	—	长错误信息也必须可恢复
VIS-009	P1	视觉可操作性	横竖屏切换后控件仍可操作	响应式/旋转	适用	移动或平板视口已加载核心工作台	390×844↔844×390；768×1024↔1024×768	打开侧栏、批次操作和弹窗；切换横竖屏；继续滚动、输入和点击；再次旋转	布局在 visualViewport 更新后重排；无旧尺寸遮罩或固定栏；焦点控件仍在可见区域；无需刷新	Playwright viewport matrix+视觉	未执行	Nightly	待分配	—	—	—	覆盖 resize 后固定定位未更新
VIS-010	P1	视觉可操作性	浏览器缩放下无控件遮挡	缩放/可访问性	适用	桌面浏览器打开各主要功能页；序列页已加载 53 帧并可触发 64MP 错误	100%、125%、150%、200%；1280×720；正常态与错误态	逐级缩放；展开侧栏、弹窗和底部操作区；触发 64MP 长错误；滚动并操作最后一个控件	200% 下仍可通过重排或滚动访问所有功能；错误提示不挤压预览；无文字覆盖按钮；对话框确认与关闭始终可见	Playwright+Edge 真实素材+视觉回归	未执行	Release	待分配	—	—	—	兼顾低分辨率笔记本、53 帧工作态和无障碍缩放
VIS-011	P1	视觉可操作性	中英文长文案不挤压或覆盖操作	国际化视觉	适用	可切换中英文；可创建长项目与动画名称；次级操作已收纳进更多菜单	中英文；64 字符名称；长错误文案；更多菜单	切换语言；填入长名称；打开项目卡、面包屑、弹窗、批次操作栏和更多菜单；尝试所有邻近按钮	文本换行、截断或省略符合设计；更多菜单中英文标签不截断关键含义；不覆盖按钮与图标；完整信息可通过标题或详情查看	Playwright screenshot+boundingBox	未执行	Nightly	待分配	—	—	—	覆盖面包屑、固定栏和更多菜单拥挤
VIS-012	P1	视觉可操作性	移动端软键盘与安全区域适配	移动视觉	部分适用	移动设备或支持 visualViewport 的仿真环境	iOS/Android；输入框位于页面底部	聚焦项目名、参数或管理员输入框；显示软键盘；滚动并提交；隐藏键盘	当前输入和提交按钮位于键盘上方；固定栏不与键盘叠加；安全区域留白正确；键盘关闭后布局恢复	移动真机优先+Playwright visualViewport	未执行	Release	待分配	—	—	—	仿真不能完全替代真机
VIS-013	P1	视觉可操作性	关键页面视觉回归基线	截图回归	适用	固定夹具及 53 帧真实工作集；字体、主题和动画状态固定	100%、125%、150%、200%；正常态与 64MP 错误态	对首页、项目中心、序列处理、抠图、切片、工作台和去水印生成稳定截图；序列页额外覆盖 53 帧与 64MP 错误；对差异页执行真实点击断言	非预期位移、覆盖、裁切和层级变化触发失败；真实工作态预览保持可读；视觉通过不能替代点击断言；批准基线变更需记录原因	Playwright screenshot baseline+Edge 真实素材+交互断言	待基线确认	Release	待分配	2026-08-10	—	docs/qa/2026-08-09-全链路测试执行记录.md	24 项中 15 项一致；序列页 125%/150%/200% 共 9 项因预览/页脚流式重排出现差异；新增 53 帧正常态与 64MP 错误态基线，待真实用户点击复核。
VIS-014	P0	视觉可操作性	启用控件实际命中目标校验	命中测试	适用	页面已加载且主要控件处于 enabled	按钮、输入、切换、标签、画布工具；中心点与四角内缩 4px；1114×674	收集可见 enabled 控件；读取 boundingBox；在中心点和安全角点调用 elementFromPoint；点击代表性控件并核对结果	命中元素为目标或其合法子元素；无透明层或固定栏截获；实际点击触发唯一预期动作；失败输出遮挡元素路径	Playwright 通用 hit-test helper	通过	PR	待分配	2026-08-10	BUG-20260810-003	docs/qa/2026-08-09-全链路测试执行记录.md	序列页 1114×674 新增 4 个主要页脚动作的视口与中心命中回归；未再把 DOM 可见或截图存在当作可操作性的充分证据。
VIS-015	P1	视觉可操作性	侧栏折叠展开不覆盖主画布	面板布局	适用	工作台或抠图页具有侧栏与主画布	展开、折叠；390/768/1366 宽度	反复展开和折叠左右面板；切换标签；缩放画布；点击画布边缘工具	桌面端主内容重新计算宽度；窄屏侧栏作为可关闭抽屉且遮罩可退出；关闭后画布全部区域恢复点击	Playwright screenshot+canvas hit-test	未执行	Nightly	待分配	—	—	—	覆盖面板宽度与画布命中区域
VIS-016	P1	视觉可操作性	页面横向溢出不隐藏功能	溢出/边界	适用	长名称、宽表单、时间轴或大量标签可构造	320、390、568、768 px 宽度	检查 document.scrollWidth；访问左右边缘控件；滚动各独立面板；打开下拉与弹窗	页面不产生非预期横向滚动；必要的局部横向滚动有明确容器；任何控件都不会被裁切在不可达区域	Playwright scrollWidth+视觉	未执行	Nightly	待分配	—	—	—	最窄 320 px 用于发现极端阻断
VIS-017	P0	视觉可操作性	已导入工作态的信息密度与主工作区优先级	布局/渐进呈现	适用	已导入 25 帧与 53 帧真实工作集	1114×674、1366×768；已导入后默认状态	进入序列处理页；记录固定顶部/侧栏/页脚占用；检查导入设置、分析和全局入口的展开状态；操作主要编辑动作与预览	导入设置、低频分析和全局入口不长期侵占主工作区；帧缩略图区与预览区合计占主体可用高度的至少 60%；预览保持最低可读高度；主编辑操作一跳可达，次级动作可通过明确“更多”或折叠区到达	Edge 真实素材+截图+boundingBox+点击断言	通过	Release	待分配	2026-08-10	OPT-20260810-005	docs/qa/2026-08-09-全链路测试执行记录.md	本地 Edge 真实 53 张高分辨率素材确认默认收起导入设置与次级工具；紧凑工具栏、预览和页脚动作同时可达，Edge 断点回归通过。
VIS-018	P0	视觉可操作性	导入前后模式切换与布局恢复	状态驱动布局	适用	序列页可导入并清空真实图片工作集	空态、导入 25/53 帧、清空后	记录空态导入区；导入工作集；确认低频导入设置自动收起；清空工作集；重复一次	空态突出导入入口；导入后自动让位于缩略图和预览；清空后恢复导入入口；切换过程无跳动、重叠、丢失操作或错误焦点	Edge 视觉共享+真实点击+截图	通过	Release	待分配	2026-08-10	OPT-20260810-006	docs/qa/2026-08-09-全链路测试执行记录.md	Edge E2E 已覆盖空态→导入后自动收起→清空确认→恢复空态→重新导入后再次收起，全程无控件丢失或错误焦点。
VIS-019	P0	视觉可操作性	错误提示不得持续压缩主工作区	错误态布局	适用	已加载 53 帧高像素工作集且可触发处理错误	64MP 错误；中英文长文案；连续 3 次	触发智能抠图错误；切换中英文；重复触发；关闭或折叠提示；继续预览和编辑	错误可关闭或折叠且不永久占用主工作区；关闭后缩略图与预览立即恢复；重复错误不堆叠；主操作仍可见可点	Edge 真实素材+截图+hit-test	部分通过	Release	待分配	2026-08-10	BUG-20260810-006；BUG-20260810-008；OPT-20260810-007	docs/qa/2026-08-09-全链路测试执行记录.md	错误栏已移到预览上方并新增“关闭提示”，关闭后焦点回到智能抠图；本地 Edge 与 E2E 通过。中英文长文案连续 3 次及生产 53 帧待复测。
VIS-020	P1	视觉可操作性	折叠区与更多菜单键盘可访问	可访问性/渐进呈现	适用	页面具有折叠面板或更多菜单	鼠标、Tab、Enter、Space、Escape	用鼠标与键盘打开折叠区和更多菜单；遍历项目；Escape 关闭；再次打开	触发器具备正确 aria-expanded；焦点顺序符合视觉顺序；Enter/Space 可打开；Escape 关闭并把焦点还给触发器；菜单项可读可执行	Edge 键盘实测+AX 树+截图	通过	Nightly	待分配	2026-08-10	OPT-20260810-008	docs/qa/2026-08-09-全链路测试执行记录.md	原生按钮支持 Enter/Space；Edge E2E 验证 Escape 依次关闭最后展开的“更多工具”和“导入设置”，每次均把焦点还给对应触发器，aria-expanded 同步更新。
VIS-021	P0	视觉可操作性	响应式断点前后连续且无抖动	断点边界	适用	序列页已加载 53 帧真实工作集	高度 720/721；宽度 1120/1121；各自 ±1 px	依次设置断点前后视口；滚动主区域；展开工具栏与错误提示；点击页脚和预览控制	断点两侧工具栏换行、预览最低高度、滚动容器和页脚位置连续；不得出现 1px 变化导致按钮遮挡、预览坍缩或双滚动条	Playwright viewport 边界+Edge 视觉复核	通过	Release	待分配	2026-08-10	OPT-20260810-009	docs/qa/2026-08-09-全链路测试执行记录.md	新增 53 帧 Edge 断点回归，逐点覆盖 1120×720、1120×721、1121×720、1121×721；预览高度相邻差≤4px，无横向溢出、状态/速度交叠或页脚出视口。
ORG-030	P0	导入与序列	选择状态驱动操作栏密度	选择/布局	适用	工作集含至少 25 帧	0、1、部分、全选	依次取消全选、单选、多选和全选；观察操作栏；点击当前可用动作	只显示或强调与当前选择相关的主操作；不可用动作明确禁用且不长期占用大块主空间；选择计数、按钮状态和实际作用对象一致	Edge 真实点击+DOM 状态+截图	通过	Release	待分配	2026-08-10	OPT-20260810-010	docs/qa/2026-08-09-全链路测试执行记录.md	次级操作默认折叠；无选择时隐藏“删除选中”，无排除帧时隐藏“删除未入集”，空删除组不占空间；单元覆盖 0/1/排除状态，Edge 真实 53 帧核对 0→1 选择计数与按钮显隐一致。
ORG-031	P0	导入与序列	动态重排后预览重绘与坐标一致	预览/重排	适用	已加载 25/53 帧且预览可播放	折叠导入区、展开分析区、折叠侧栏、调整窗口	每次改变布局后播放并切换原始/编辑结果；点击缩略图；操作预览速度；记录当前帧和画布边界	预览保持原宽高比且不挤扁；当前帧、帧顺序与切换前一致；画布点击和控件坐标映射正确；无残影、黑屏或越界	Edge 视觉共享+截图+坐标命中	部分通过	Release	待分配	2026-08-10	BUG-20260810-005；BUG-20260810-007；OPT-20260810-011	docs/qa/2026-08-09-全链路测试执行记录.md	预览最小高度与编辑结果状态已修复，本地 Edge 和 E2E 通过；折叠/展开、侧栏和断点的完整坐标重排矩阵仍待执行。
ORG-032	P0	序列处理	直接导入超 64MP 的大图工作集	容量/内存	适用	序列页空态；浏览器支持本地多文件选择	53 张 1920×1440 PNG；总解码像素约 146MP	一次选择 53 张图片；等待导入完成；核对帧数、顺序、状态、预览和智能抠图入口	53 张均进入工作集且顺序稳定；不因处理会话的 64MP 总预算跳过后续图片；解码采用有界窗口；单张超 16MP 仍被拒绝；导入后预览与主操作可用	单元+Edge 真实素材+内存观察	通过	Release	待分配	2026-08-10	BUG-20260810-009	docs/qa/2026-08-09-全链路测试执行记录.md	原导入器把处理会话的 64MP 总预算误用于长期工作集，只接收 23/53。现改为逐张尺寸校验并按 4 张解码窗口处理；Edge 真实素材显示“已导入 53 张图片”，53/53 帧可预览。
VIS-022	P0	视觉可操作性	未确认的历史英文偏好迁移回中文	语言状态/迁移	适用	当前域名 localStorage 中存在旧版 xsxbFrameTuner.language=en，但不存在 languageExplicit 标记	主域名与 fast 域名；/tools/organizer	注入旧版英文偏好；打开序列处理页；核对标题和主要控件；再由用户点击 EN 并刷新	旧版来源不明的英文值自动回落为中文；只有用户主动点击语言按钮后才写入确认标记并持久化英文	单元+Edge 路由+生产资源核对	通过	Release	待分配	2026-08-10	BUG-20260810-011	用户生产截图+本地 Edge E2E	新增 languageExplicit 标记；无标记的遗留 en 自动迁移为 zh，明确选择仍可持久化。已部署 Cloudflare 版本 a8d755e8-aa8c-4340-9e57-26ba9c37876e。
VIS-023	P0	视觉可操作性	全站可见控件不得被裁切祖先静默截断	布局/缩放/国际化	适用	各工具页可打开；工作态页面加载确定性素材	首页、工作区、导入空态/工作态、整理、抠图、散图切片、水印；100%/125%/150%/200%；明确英文状态	逐页设置缩放并载入素材；检查页面整体 scrollWidth；遍历可见按钮、输入、选择框、标签、标题、提示和状态，向上查找 overflow-x:hidden/clip 祖先并比较左右边界	所有可见控件位于裁切祖先边界内；不得用 overflow:hidden 掩盖越界；英文长文案同样通过；视觉快照与当前确认布局一致	Edge 逐元素 boundingBox+视觉快照	通过	Release	待分配	2026-08-10	BUG-20260810-013	本地 Edge 视觉矩阵	8 页×4 缩放共 32/32；明确英文核心页 5/5。发现并修复工作区顶部工具栏、左栏数值控件和底部保存动作右侧裁切，新增散图切片与水印视觉基线。
CUT-030	P0	批量抠图	处理参数底部内容可滚动到达	布局/可操作性	适用	抠图工作台已载入图片；智能对比功能已移除	1600×900；浏览器缩放导致的等效短视口；背景清除参数	进入抠图工作台；确认不存在智能对比入口；滚动处理参数到最底部；操作透明替换等末尾参数	智能对比界面和脚本均不存在；处理参数占满侧栏可用高度且不越过批次操作；内部滚动可到达全部参数	Edge DOM+boundingBox+滚动断言	通过	Release	待分配	2026-08-10	BUG-20260810-010	用户截图+本地 Edge E2E	按产品决策完整删除智能对比 UI、A/B 控制器、预设存储、算法模块、运行时状态和专用测试；Edge 回归确认参数区完整可滚动。
CUT-031	P0	批量抠图	窄侧栏中英文参数控件不得横向裁切	布局/国际化/可操作性	适用	抠图工作台已载入图片；处理参数侧栏展开	1600×900；300–370px 侧栏；中文与明确选择的英文；常规/后处理/高级三页	分别切换中英文；依次打开三个参数页；滚动到页底；逐个核对标题、提示、滑杆、数值框、下拉框和按钮的左右边界	所有可见参数控件完整位于侧栏左右边界内；长标签允许换行；不得依赖横向滚动；三个参数页均可操作	Edge 逐元素 boundingBox+视觉截图	通过	Release	待分配	2026-08-10	BUG-20260810-012	用户截图+本地 Edge E2E	原三列参数网格受 range 输入固有宽度和英文长文案撑开后被 overflow:hidden 裁切；改为窄栏单列/两列自适应并为网格子项补 min-width:0。三个参数页逐元素边界回归通过。
ENV-001	P0	云端环境	Godot 本地能力限制	环境	适用	线上工作台	Godot 绝对路径	检查绑定/同步区域并尝试可见操作	线上不执行本地文件写入；按钮禁用/隐藏或提供清晰说明	Playwright	通过	PR	待分配	2026-08-10	—	docs/qa/2026-08-09-全链路测试执行记录.md	生产模式 Godot handoff 控件由控制器渲染为 hosted 禁用/说明状态；线上 Worker 不执行本地像素 POST 或本地路径写入。
ENV-002	P0	云端环境	浏览器项目跨刷新持久化	状态	适用	已创建浏览器项目并成功加入至少一个动画；IndexedDB 可用	2 帧 PNG	在同一浏览器与同一 origin 记录项目和动画；刷新；不清理站点数据；关闭页面后重新访问；进入项目中心查询并打开动画	项目注册表、动画组和帧由 IndexedDB 恢复；项目可查询并继续编辑；不得退回空临时工作区	Playwright 同一持久化上下文	通过	Release	待分配	2026-08-10	—	docs/qa/2026-08-09-全链路测试执行记录.md	Edge separate/merge 新项目均在打开后刷新保持 2/4 帧；浏览器项目存储定向单元确认注册表、动画组与帧从 IndexedDB 恢复。
ENV-003	P1	云端环境	离线/网络中断错误恢复	异常	适用	工作台已加载	阻断 API	保存、授权、加入项目、视频任务分别触发	显示可恢复错误；本地编辑不丢失；恢复网络后可重试	Playwright route	未执行	Nightly	待分配	—	—	—	—
ENV-004	P1	云端环境	多标签并发写入	并发	适用	同项目两个标签	同时保存/重组	制造修订冲突	至少一方明确冲突；最终数据一致，不静默覆盖	Playwright 多页	未执行	Nightly	待分配	—	—	—	—
ENV-005	P2	兼容性	Chrome 与 Edge 桌面兼容	兼容性	适用	最新版 Chrome/Edge	1440×900、1920×1080	执行 P0 冒烟集	行为一致；无浏览器专属错误	跨浏览器 Playwright	未执行	Nightly	待分配	—	—	—	—
ENV-006	P2	响应式	移动端关键操作	响应式	适用	390×640 视口	删除帧、确认框、工具导航	执行关键流程	弹窗不越屏；可点击目标≥48 px；无横向阻塞	Playwright+视觉	未执行	Nightly	待分配	—	—	—	—
ENV-007	P2	性能	大批次交互性能	性能	适用	真实或生成的 25、53、240 帧工作集	导入、滚动、选择、预览、抠图、时间轴、导出	分别记录加载、首个缩略图、全选、滚动、预览切帧、处理和导出时间；观察内存	25/53/240 帧下界面保持响应；选择和预览无明显输入延迟；进度准确；无持续内存增长或崩溃	性能基线+Performance trace	未执行	Nightly	待分配	—	—	—	把真实 53 帧交互延迟纳入基线，不只测 100–500 帧小图吞吐。
ENV-008	P2	可访问性	对话框焦点管理	可访问性	适用	可触发确认/授权/导出弹窗	Tab、Shift+Tab、Escape	打开弹窗；循环焦点；Escape 关闭	焦点困在弹窗内；关闭后回到触发器；背景 inert	Playwright+Axe	未执行	Nightly	待分配	—	—	—	—
